route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,checkin_duration
BEBMI-FRMLV,EUROSTAR_CONTINENTAL,BEBMI -> FRMLV,Bruxelles-Midi -> Marne-la-Vallée-Chessy,2,B5273D,FFFFFF,0
BEBMI-FRPNO,EUROSTAR_CONTINENTAL,BEBMI -> FRPNO,Bruxelles-Midi -> Paris-Nord,2,B5273D,FFFFFF,0
BEBMI-FRQBM,EUROSTAR_CONTINENTAL,BEBMI -> FRQBM,Bruxelles-Midi -> Bourg-St-Maurice,2,B5273D,FFFFFF,0
BEBMI-GBSPX,EUROSTAR_CHANNEL,BEBMI -> GBSPX,Bruxelles-Midi -> St-Pancras-International,2,00286A,FFFFFF,2700
BEBMI-NLAMA,EUROSTAR_CONTINENTAL,BEBMI -> NLAMA,Bruxelles-Midi -> Amsterdam-Centraal,2,B5273D,FFFFFF,0
DEDTM-FRPNO,EUROSTAR_CONTINENTAL,DEDTM -> FRPNO,Dortmund Hbf -> Paris-Nord,2,B5273D,FFFFFF,0
DEKOH-FRPNO,EUROSTAR_CONTINENTAL,DEKOH -> FRPNO,Köln Hbf -> Paris-Nord,2,B5273D,FFFFFF,0
FRMLV-BEBMI,EUROSTAR_CONTINENTAL,FRMLV -> BEBMI,Marne-la-Vallée-Chessy -> Bruxelles-Midi,2,B5273D,FFFFFF,0
FRMLV-NLAMA,EUROSTAR_CONTINENTAL,FRMLV -> NLAMA,Marne-la-Vallée-Chessy -> Amsterdam-Centraal,2,B5273D,FFFFFF,0
FRPNO-BEBMI,EUROSTAR_CONTINENTAL,FRPNO -> BEBMI,Paris-Nord -> Bruxelles-Midi,2,B5273D,FFFFFF,0
FRPNO-DEDTM,EUROSTAR_CONTINENTAL,FRPNO -> DEDTM,Paris-Nord -> Dortmund Hbf,2,B5273D,FFFFFF,0
FRPNO-DEKOH,EUROSTAR_CONTINENTAL,FRPNO -> DEKOH,Paris-Nord -> Köln Hbf,2,B5273D,FFFFFF,0
FRPNO-GBSPX,EUROSTAR_CHANNEL,FRPNO -> GBSPX,Paris-Nord -> St-Pancras-International,2,00286A,FFFFFF,2700
FRPNO-NLAMA,EUROSTAR_CONTINENTAL,FRPNO -> NLAMA,Paris-Nord -> Amsterdam-Centraal,2,B5273D,FFFFFF,0
FRQBM-BEBMI,EUROSTAR_CONTINENTAL,FRQBM -> BEBMI,Bourg-St-Maurice -> Bruxelles-Midi,2,B5273D,FFFFFF,0
FRQBM-NLAMA,EUROSTAR_CONTINENTAL,FRQBM -> NLAMA,Bourg-St-Maurice -> Amsterdam-Centraal,2,B5273D,FFFFFF,0
GBSPX-BEBMI,EUROSTAR_CHANNEL,GBSPX -> BEBMI,St-Pancras-International -> Bruxelles-Midi,2,00286A,FFFFFF,2700
GBSPX-FRPNO,EUROSTAR_CHANNEL,GBSPX -> FRPNO,St-Pancras-International -> Paris-Nord,2,00286A,FFFFFF,2700
GBSPX-NLAMA,EUROSTAR_CHANNEL,GBSPX -> NLAMA,St-Pancras-International -> Amsterdam-Centraal,2,00286A,FFFFFF,2700
NLAMA-BEBMI,EUROSTAR_CONTINENTAL,NLAMA -> BEBMI,Amsterdam-Centraal -> Bruxelles-Midi,2,B5273D,FFFFFF,0
NLAMA-FRMLV,EUROSTAR_CONTINENTAL,NLAMA -> FRMLV,Amsterdam-Centraal -> Marne-la-Vallée-Chessy,2,B5273D,FFFFFF,0
NLAMA-FRPNO,EUROSTAR_CONTINENTAL,NLAMA -> FRPNO,Amsterdam-Centraal -> Paris-Nord,2,B5273D,FFFFFF,0
NLAMA-FRQBM,EUROSTAR_CONTINENTAL,NLAMA -> FRQBM,Amsterdam-Centraal -> Bourg-St-Maurice,2,B5273D,FFFFFF,0
NLAMA-GBSPX,EUROSTAR_CHANNEL,NLAMA -> GBSPX,Amsterdam-Centraal -> St-Pancras-International,2,00286A,FFFFFF,2700
