trip_id,arrival_time,departure_time,stop_id,stop_sequence,drop_off_type,pickup_type
9002-0314,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0314,09:49:00,09:49:00,paris_nord,2,0,1
9002-0321,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0321,09:49:00,09:49:00,paris_nord,2,0,1
9002-0328,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0328,09:49:00,09:49:00,paris_nord,2,0,1
9002-0404,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0404,09:53:00,09:53:00,paris_nord,2,0,1
9002-0411,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0411,09:53:00,09:53:00,paris_nord,2,0,1
9002-0418,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0418,09:53:00,09:53:00,paris_nord,2,0,1
9002-0425,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0425,09:53:00,09:53:00,paris_nord,2,0,1
9002-0502,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0502,09:53:00,09:53:00,paris_nord,2,0,1
9002-0509,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0509,09:53:00,09:53:00,paris_nord,2,0,1
9002-0516,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0516,09:53:00,09:53:00,paris_nord,2,0,1
9002-0523,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0523,09:57:00,09:57:00,paris_nord,2,0,1
9002-0530,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0530,09:57:00,09:57:00,paris_nord,2,0,1
9002-0606,07:31:00,07:31:00,st_pancras_international,1,1,0
9002-0606,09:57:00,09:57:00,paris_nord,2,0,1
9004-0309,08:01:00,08:01:00,st_pancras_international_7,1,1,0
9004-0309,10:27:00,10:27:00,paris_nord,2,0,1
9004-0310,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0310,10:27:00,10:27:00,paris_nord,2,0,1
9004-0311,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0311,10:27:00,10:27:00,paris_nord,2,0,1
9004-0312,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0312,10:27:00,10:27:00,paris_nord,2,0,1
9004-0313,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0313,10:27:00,10:27:00,paris_nord,2,0,1
9004-0316,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0316,10:27:00,10:27:00,paris_nord,2,0,1
9004-0317,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0317,10:27:00,10:27:00,paris_nord,2,0,1
9004-0318,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0318,10:27:00,10:27:00,paris_nord,2,0,1
9004-0319,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0319,10:27:00,10:27:00,paris_nord,2,0,1
9004-0320,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0320,10:27:00,10:27:00,paris_nord,2,0,1
9004-0323,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0323,10:27:00,10:27:00,paris_nord,2,0,1
9004-0324,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0324,10:27:00,10:27:00,paris_nord,2,0,1
9004-0325,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0325,10:27:00,10:27:00,paris_nord,2,0,1
9004-0326,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0326,10:27:00,10:27:00,paris_nord,2,0,1
9004-0327,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0327,10:27:00,10:27:00,paris_nord,2,0,1
9004-0330,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0330,10:27:00,10:27:00,paris_nord,2,0,1
9004-0331,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0331,10:27:00,10:27:00,paris_nord,2,0,1
9004-0401,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0401,10:27:00,10:27:00,paris_nord,2,0,1
9004-0402,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0402,10:27:00,10:27:00,paris_nord,2,0,1
9004-0403,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0403,10:27:00,10:27:00,paris_nord,2,0,1
9004-0407,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0407,10:27:00,10:27:00,paris_nord,2,0,1
9004-0408,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0408,10:27:00,10:27:00,paris_nord,2,0,1
9004-0409,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0409,10:27:00,10:27:00,paris_nord,2,0,1
9004-0410,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0410,10:27:00,10:27:00,paris_nord,2,0,1
9004-0413,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0413,10:27:00,10:27:00,paris_nord,2,0,1
9004-0414,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0414,10:27:00,10:27:00,paris_nord,2,0,1
9004-0415,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0415,10:27:00,10:27:00,paris_nord,2,0,1
9004-0416,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0416,10:27:00,10:27:00,paris_nord,2,0,1
9004-0417,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0417,10:27:00,10:27:00,paris_nord,2,0,1
9004-0420,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0420,10:27:00,10:27:00,paris_nord,2,0,1
9004-0421,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0421,10:27:00,10:27:00,paris_nord,2,0,1
9004-0422,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0422,10:27:00,10:27:00,paris_nord,2,0,1
9004-0423,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0423,10:27:00,10:27:00,paris_nord,2,0,1
9004-0424,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0424,10:27:00,10:27:00,paris_nord,2,0,1
9004-0427,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0427,10:27:00,10:27:00,paris_nord,2,0,1
9004-0428,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0428,10:27:00,10:27:00,paris_nord,2,0,1
9004-0429,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0429,10:27:00,10:27:00,paris_nord,2,0,1
9004-0430,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0430,10:27:00,10:27:00,paris_nord,2,0,1
9004-0501,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0501,10:27:00,10:27:00,paris_nord,2,0,1
9004-0505,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0505,10:27:00,10:27:00,paris_nord,2,0,1
9004-0506,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0506,10:27:00,10:27:00,paris_nord,2,0,1
9004-0507,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0507,10:27:00,10:27:00,paris_nord,2,0,1
9004-0508,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0508,10:27:00,10:27:00,paris_nord,2,0,1
9004-0511,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0511,10:27:00,10:27:00,paris_nord,2,0,1
9004-0512,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0512,10:27:00,10:27:00,paris_nord,2,0,1
9004-0513,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0513,10:27:00,10:27:00,paris_nord,2,0,1
9004-0514,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0514,10:27:00,10:27:00,paris_nord,2,0,1
9004-0515,08:01:00,08:01:00,st_pancras_international,1,1,0
