route_long_name,route_short_name,agency_id,route_type,route_id
,EC,1,2,31
,EC,10,2,3
,EC,12,2,57
,EC,3,2,4
,EC 62,12,2,25
,EC 62,4,2,75
,EC 85,4,2,64
,EC 89,4,2,87
,EC 95,13,2,45
,EC 95,4,2,11
,EC 96,13,2,46
,EC 96,4,2,37
,EC 97,4,2,17
,ECE,6,2,70
,ECE 20,4,2,71
,ECE 75,4,2,38
,ECE 85,4,2,32
,ECE 88,4,2,26
,EN,10,2,5
,EN,12,2,52
,EN,13,2,47
,EN,7,2,48
,IC,1,2,41
,IC,11,2,28
,IC,12,2,6
,IC,13,2,39
,IC,3,2,27
,IC,6,2,61
,IC,9,2,88
,IC 17,4,2,18
,IC 24,4,2,19
,IC 27,4,2,58
,IC 33,4,2,89
,IC 34,4,2,59
,IC 35,4,2,20
,IC 51,4,2,76
,IC 55,4,2,65
,IC 56,4,2,77
,IC 57,4,2,90
,IC 60,4,2,83
,IC 61,4,2,60
,IC 87,4,2,72
,ICE,1,2,1
,ICE,12,2,21
,ICE,8,2,62
,ICE 1,4,2,73
,ICE 10,4,2,7
,ICE 11,4,2,22
,ICE 12,4,2,14
,ICE 13,4,2,54
,ICE 14,4,2,8
,ICE 15,4,2,68
,ICE 16,4,2,79
,ICE 17,4,2,42
,ICE 18,4,2,40
,ICE 20,4,2,33
,ICE 22,4,2,34
,ICE 23,4,2,35
,ICE 24,4,2,78
,ICE 25,4,2,55
,ICE 26,4,2,29
,ICE 28,4,2,15
,ICE 29,4,2,56
,ICE 3,4,2,69
,ICE 33,4,2,80
,ICE 4,4,2,23
,ICE 41,4,2,30
,ICE 42,4,2,16
,ICE 43,4,2,9
,ICE 45,4,2,74
,ICE 47,4,2,66
,ICE 49,4,2,24
,ICE 50,4,2,84
,ICE 51,4,2,67
,ICE 55,4,2,43
,ICE 6,4,2,44
,ICE 60,4,2,49
,ICE 62,4,2,81
,ICE 77,4,2,10
,ICE 78,4,2,85
,ICE 79,4,2,53
,ICE 82,4,2,12
,ICE 82,5,2,36
,ICE 83,4,2,86
,ICE 83,5,2,2
,ICE 91,4,2,13
,RJ,12,2,82
,RJ,2,2,50
,RJ,3,2,51
,RJ,7,2,63
