trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
1002725,19:07:00,19:07:00,187263,0,,
1002725,20:00:00,20:00:00,228255,1,,
1004681,10:04:00,10:04:00,187263,0,,
1004681,11:00:00,11:07:00,228255,1,,
1004681,12:02:00,12:03:00,119639,2,,
1004681,12:11:00,12:12:00,67133,3,,
1004681,12:22:00,12:22:00,36496,4,,
1026468,19:07:00,19:07:00,187263,0,,
1026468,20:00:00,20:00:00,228255,1,,
1028359,12:38:00,12:38:00,36496,0,,
1028359,12:47:00,12:48:00,67133,1,,
1028359,12:57:00,12:57:00,119639,2,,
1028359,13:53:00,13:59:00,228255,3,,
1028359,14:52:00,14:52:00,187263,4,,
1032427,07:45:00,07:45:00,517668,0,,
1032427,07:52:00,07:54:00,154317,1,,
1032427,08:21:00,08:22:00,252417,2,,
1032427,08:31:00,08:33:00,377665,3,,
1032427,08:53:00,09:04:00,165561,4,,
1032427,09:30:00,09:33:00,42420,5,,
1032427,09:49:00,09:49:00,483277,6,,
1032427,10:00:00,10:00:00,187263,7,,
1057682,18:07:00,18:07:00,187263,0,,
1057682,19:00:00,19:07:00,228255,1,,
1057682,20:02:00,20:03:00,119639,2,,
1057682,20:11:00,20:12:00,67133,3,,
1057682,20:22:00,20:22:00,36496,4,,
1060187,13:45:00,13:45:00,517668,0,,
1060187,13:52:00,13:54:00,154317,1,,
1060187,14:21:00,14:22:00,252417,2,,
1060187,14:31:00,14:33:00,377665,3,,
1060187,14:53:00,15:04:00,165561,4,,
1060187,15:30:00,15:33:00,42420,5,,
1060187,15:49:00,15:49:00,483277,6,,
1060187,16:00:00,16:00:00,187263,7,,
107306,05:59:00,05:59:00,627910,0,,
107306,06:03:00,06:04:00,169668,1,,
107306,06:23:00,06:23:00,252417,2,,
107306,06:34:00,06:34:00,377665,3,,
107306,06:56:00,07:04:00,165561,4,,
107306,07:30:00,07:33:00,42420,5,,
107306,07:49:00,07:49:00,483277,6,,
107306,08:00:00,08:00:00,187263,7,,
1079300,10:58:00,10:58:00,187263,0,,
1079300,11:08:00,11:08:00,483277,1,,
1079300,11:25:00,11:29:00,42420,2,,
1079300,11:56:00,12:07:00,165561,3,,
1079300,12:26:00,12:27:00,377665,4,,
1079300,12:37:00,12:38:00,252417,5,,
1079300,13:04:00,13:05:00,154317,6,,
1079300,13:13:00,13:13:00,517668,7,,
1087658,10:59:00,10:59:00,228255,0,,
1087658,11:54:00,11:54:00,187263,1,,
1092363,13:45:00,13:45:00,517668,0,,
1092363,13:52:00,13:54:00,154317,1,,
1092363,14:21:00,14:22:00,252417,2,,
1092363,14:31:00,14:33:00,377665,3,,
1092363,14:53:00,15:04:00,165561,4,,
1092363,15:30:00,15:33:00,42420,5,,
1092363,15:49:00,15:49:00,483277,6,,
1092363,16:00:00,16:00:00,187263,7,,
1102889,12:07:00,12:07:00,187263,0,,
1102889,13:00:00,13:07:00,228255,1,,
1102889,14:02:00,14:03:00,119639,2,,
1102889,14:11:00,14:12:00,67133,3,,
1102889,14:22:00,14:22:00,36496,4,,
1119509,10:58:00,10:58:00,187263,0,,
