stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code
's-Hertogenbosch,,310815,51.69054,5.293723,1,
's-Hertogenbosch,310815,217460,51.69054,5.293723,,
Aachen Hbf,653085,545203,50.7678,6.091499,,
Aachen Süd(Gr),,614139,50.731915,6.04541,1,
Aachen Süd(Gr),614139,675550,50.731915,6.04541,,
"Aachen, Hbf",,653085,50.767723,6.092051,1,
Aalen Hbf,517316,206323,48.841015,10.096271,,
"Aalen, Hauptbahnhof",,517316,48.841602,10.096031,1,
Altena(Westf),652455,132559,51.301983,7.668808,,
"Altena, Bahnhof",,652455,51.301983,7.66881,1,
Altenbeken,,300572,51.766434,8.943322,1,
Altenbeken,300572,254047,51.766434,8.943319,,
Amersfoort Centraal,,517044,52.153465,5.373909,1,
Amersfoort Centraal,517044,346741,52.153465,5.373909,,
Amsterdam Centraal,,677093,52.37919,4.899431,1,
Amsterdam Centraal,677093,141952,52.37919,4.899431,,
Andernach,327429,572311,50.434544,7.404839,,
Andernach Bahnhof,,327429,50.434544,7.40484,1,
Angermünde,371133,122063,53.01574,13.995672,,5
Angermünde,371133,226096,53.015793,13.995908,,3
"Angermünde, Bahnhof",,371133,53.015823,13.995871,1,
Anklam,,226254,53.855984,13.701563,1,
Anklam,226254,146640,53.856102,13.701827,,
Ansbach,,36780,49.29803,10.578246,1,
Ansbach,36780,276468,49.29803,10.578239,,
Apeldoorn,,505539,52.20943,5.968491,1,
Apeldoorn,505539,42273,52.20943,5.968491,,
Arnhem Centraal,,198883,51.98478,5.901003,1,
Arnhem Centraal,198883,200293,51.98478,5.901003,,
Aschaffenburg Hbf,,431215,49.980556,9.1437,1,
Aschaffenburg Hbf,431215,489253,49.980556,9.143697,,
Augsburg Hbf,,378904,48.36544,10.885569,1,
Augsburg Hbf,378904,644604,48.36544,10.88557,,
Augustfehn,,64092,53.220894,7.759677,1,
Augustfehn,64092,476688,53.22084,7.759684,,
Bad Bentheim,,532119,52.30985,7.158539,1,
Bad Bentheim,532119,40600,52.30985,7.158539,,
Bad Bentheim(Gr),,566317,52.3091,7.04016,1,
Bad Bentheim(Gr),566317,259586,52.3091,7.04016,,
Bad Gastein,,569216,47.11178,13.131924,1,
Bad Gastein,569216,392867,47.11178,13.131924,,
Bad Hersfeld,,26522,50.869766,9.716581,1,
Bad Hersfeld,26522,493565,50.869766,9.716581,,
Bad Hofgastein,,88427,47.195343,13.100503,1,
Bad Hofgastein,88427,458841,47.195343,13.100503,,
Bad Kleinen,33731,366658,53.766975,11.466925,,
Bad Kleinen Bahnhof,,33731,53.76746,11.466429,1,
Bad Nauheim,477370,578807,50.367905,8.749334,,
Bad Nauheim Bahnhof,,477370,50.367798,8.748327,1,
Bad Oeynhausen,75048,1208,52.2054,8.796523,,
"Bad Oeynhausen, Bf/ZOB",,75048,52.2054,8.796519,1,
Bad Zwischenahn,,557991,53.182568,8.002996,1,
Bad Zwischenahn,557991,476820,53.18242,8.003398,,
Baden(CH),,637050,47.476425,8.307709,1,
Baden(CH),637050,178627,47.476425,8.307709,,
Baden-Baden,,37092,48.7902,8.191036,1,
Baden-Baden,37092,382249,48.790325,8.190831,,
Bamberg,,128114,49.90076,10.899484,1,
