route_id,service_id,trip_id
1,1005,1594807
1,1014,589620
1,1015,184494
1,1015,73656
1,1016,278177
1,1017,396982
1,1019,1537945
1,1025,1194124
1,1025,231145
1,1027,32381
1,1037,1258522
1,1037,1558348
1,1037,869305
1,1046,93223
1,1050,1350916
1,121,1594994
1,125,187518
1,178,67206
1,186,440045
1,195,1596267
1,195,984113
1,2,1408073
1,201,1506842
1,21,1536126
1,219,231591
1,239,567526
1,245,139373
1,25,521075
1,250,1597723
1,250,418490
1,254,1221141
1,262,1572896
1,269,1429999
1,270,1119509
1,307,746652
1,31,521329
1,33,1002725
1,33,199379
1,33,20057
1,33,353513
1,33,824389
1,337,245326
1,353,653439
1,355,1454173
1,368,652179
1,377,397126
1,383,1028359
1,388,901170
1,435,516472
1,437,1223203
1,448,922159
1,470,86121
1,483,334286
1,502,755417
1,503,1060187
1,520,2781
1,529,465273
1,569,1606285
1,569,420178
1,578,241553
1,588,1079300
1,588,84968
1,615,1488165
1,615,1524865
1,615,277877
1,615,407864
1,615,452528
1,615,559345
1,620,221531
1,620,325840
1,691,189700
1,696,246846
1,729,1158399
1,729,1523031
1,748,1363317
1,748,505878
1,748,59983
1,752,1306531
1,752,268795
1,754,659659
1,756,1528127
1,756,309524
1,757,347753
1,765,1416813
1,765,511815
1,766,1004681
1,766,1087658
1,766,113288
1,766,1249101
1,766,1351105
1,766,13592
1,766,1385871
1,766,1518705
1,766,1564571
1,766,188567
1,766,242162
1,766,395554
1,766,490541
1,766,625674
1,766,686978
1,766,879853
1,766,932365
1,767,252204
1,768,1092363
1,778,577895
1,796,1057682
1,797,1364618
1,8,1228503
1,811,1102889
1,811,1177262
1,811,1349084
1,811,1359269
1,811,1441938
1,811,1482611
1,811,183841
1,811,317937
1,811,353314
1,811,479816
1,811,658167
1,811,870418
1,812,1176255
1,816,786262
1,83,556140
1,843,1194082
1,843,273622
1,843,404930
1,845,1508742
1,849,147603
1,853,1026468
1,866,1131991
1,866,448028
1,874,1185176
1,893,1490396
1,912,523030
1,917,448078
1,929,1478223
1,930,1032427
1,930,256673
1,940,878232
1,976,1421335
1,986,107306
1,986,1241397
1,986,1409298
1,986,1538818
1,986,164477
1,986,53642
1,986,625807
1,986,631862
1,986,769974
1,990,1449281
1,990,833180
10,1001,443457
